Method,Split,LR,Optimizer,Final_Precision,Final_Recall,Final_F1,Final_AUC
FaceNet,90-10,0.0001,Adam,1.0,1.0,1.0,1.0
FaceNet,90-10,0.0001,AdaGrad,0.75,0.875,0.7619047619047619,0.875
FaceNet,90-10,0.001,Adam,0.4,0.5,0.4444444444444444,0.5
FaceNet,90-10,0.001,AdaGrad,0.4,0.5,0.4444444444444444,0.5
FaceNet,80-20,0.0001,Adam,0.2333333333333333,0.3333333333333333,0.2745098039215686,0.5
FaceNet,80-20,0.0001,AdaGrad,0.4166666666666667,0.4523809523809524,0.43333333333333335,0.8333333333333333
FaceNet,80-20,0.001,Adam,0.2333333333333333,0.3333333333333333,0.2745098039215686,0.5
FaceNet,80-20,0.001,AdaGrad,0.2333333333333333,0.3333333333333333,0.2745098039215686,0.5
Arc2Face,90-10,0.0001,Adam,1.0,1.0,1.0,1.0
Arc2Face,90-10,0.0001,AdaGrad,0.4,0.5,0.4444444444444444,0.875
Arc2Face,90-10,0.001,Adam,1.0,1.0,1.0,1.0
Arc2Face,90-10,0.001,AdaGrad,1.0,1.0,1.0,1.0
Arc2Face,80-20,0.0001,Adam,0.5079365079365079,0.6190476190476191,0.5523809523809523,0.7619047619047621
Arc2Face,80-20,0.0001,AdaGrad,0.8888888888888888,0.9523809523809524,0.9076923076923077,0.9285714285714286
Arc2Face,80-20,0.001,Adam,0.5079365079365079,0.6190476190476191,0.5523809523809523,0.7619047619047621
Arc2Face,80-20,0.001,AdaGrad,0.5079365079365079,0.6190476190476191,0.5523809523809523,0.7619047619047621
RetinaFace,90-10,0.0001,Adam,0.4,0.5,0.4444444444444444,0.5
RetinaFace,90-10,0.0001,AdaGrad,1.0,1.0,1.0,1.0
RetinaFace,90-10,0.001,Adam,0.4,0.5,0.4444444444444444,0.5
RetinaFace,90-10,0.001,AdaGrad,0.4,0.5,0.4444444444444444,0.5
RetinaFace,80-20,0.0001,Adam,0.2333333333333333,0.3333333333333333,0.2745098039215686,0.8333333333333334
RetinaFace,80-20,0.0001,AdaGrad,0.25925925925925924,0.3333333333333333,0.2916666666666667,0.8333333333333334
RetinaFace,80-20,0.001,Adam,0.25925925925925924,0.3333333333333333,0.2916666666666667,0.6666666666666667
RetinaFace,80-20,0.001,AdaGrad,0.2333333333333333,0.3333333333333333,0.2745098039215686,0.5
